1:1	사무엘상 27:5-6
21:1	레위기 26:18, 레위기 26:20, 창세기 9:6, 출애굽기 20:13, 민수기 35:30, 민수기 35:33
21:2	여호수아 9:3, 여호수아 9:27, 창세기 10:15-16, 여호수아 9:15
21:4	민수기 35:31
21:5	사무엘하 21:1
21:6	사무엘상 9:17, 사무엘상 10:26, 민수기 25:4, 신명기 21:22
21:7	사무엘상 18:3, 사무엘상 20:42, 사무엘하 4:4, 사무엘하 9:10, 사무엘하 19:24
21:8	사무엘하 3:7, 사무엘상 18:20, 사무엘상 25:44, 사무엘하 3:14, 사무엘하 6:23, 사무엘상 18:19
21:9	민수기 35:31, 신명기 19:21
21:10	사무엘하 3:7
21:12	사무엘하 2:5, 사무엘상 28:4, 사무엘상 31:1, 사무엘상 31:11-12, 사무엘하 1:6, 역대기상 10:8
21:13	사무엘하 21:9
21:14	여호수아 18:28, 사무엘상 9:1, 사무엘상 10:11, 여호수아 7:24-26, 사무엘하 24:25
21:15	사무엘하 5:17, 사무엘하 5:22
21:16	신명기 2:11, 사무엘상 17:4, 사무엘상 17:7, 역대기상 11:23
21:17	사무엘하 23:18-19, 사무엘하 22:19, 사무엘하 18:3, 열왕기상 11:36, 열왕기상 15:4, 열왕기하 8:19
21:18	역대기상 20:4, 역대기상 11:26, 역대기상 11:29, 역대기상 27:1, 역대기상 27:11, 창세기 14:5
21:19	역대기상 20:5, 사무엘상 17:4, 사무엘상 17:7
21:20	역대기상 20:6-8
21:21	사무엘상 17:10, 사무엘상 17:45, 열왕기하 19:22, 사무엘상 16:9, 사무엘상 17:13, 역대기상 2:13
21:22	시편 60:12
22:1	시편 34:19, 사무엘상 23:14, 시편 18:0, 출애굽기 15:1, 사사기 5:1
22:2	시편 31:3, 시편 18:2-3
22:3	신명기 32:4, 사무엘상 2:1-2, 창세기 15:1, 신명기 33:29, 시편 3:3, 시편 9:9, 잠언 18:10, 시편 59:16, 이사야 12:2, 누가복음 1:46-47, 디도서 3:4
22:5	시편 69:14, 시편 18:4
22:6	시편 116:3-4, 시편 18:5
22:7	시편 142:1, 요나 2:2, 출애굽기 3:7, 시편 18:6, 시편 34:15
22:8	사사기 5:4, 욥기 26:11, 시편 18:7-12, 시편 77:18
22:9	이사야 30:27
22:10	시편 144:5, 이사야 64:1, 신명기 4:11, 열왕기상 8:12, 시편 18:9, 시편 97:2
22:11	사무엘상 4:4, 시편 80:1, 시편 99:1, 히브리서 1:7
22:12	욥기 36:29
22:14	출애굽기 19:16, 사무엘상 2:10, 시편 18:13-16, 이사야 30:30
22:15	시편 7:13, 시편 77:17, 시편 144:6
22:16	출애굽기 14:21, 시편 106:9, 시편 114:3, 출애굽기 15:8
22:17	시편 18:16-19, 시편 124:2-4, 시편 144:7
22:18	시편 3:7, 시편 56:9
22:19	사무엘상 19:11, 사무엘상 23:26, 사무엘하 15:10
22:20	시편 31:8, 시편 149:4
22:21	사무엘상 26:23, 열왕기상 8:32, 시편 18:20-24, 시편 24:3-4
22:23	신명기 6:1, 시편 19:9, 신명기 8:11
22:24	시편 84:11, 시편 18:23, 잠언 14:16
22:25	욥기 34:11, 이사야 3:10, 히브리서 11:6, 시편 18:24, 잠언 5:21
22:26	시편 37:28, 시편 97:10, 시편 18:25-30
22:27	마태복음 5:8, 베드로 전서 1:16, 시편 125:5
22:28	욥기 34:28, 다니엘 4:37, 베드로 전서 5:5
22:29	시편 27:1, 시편 97:11
22:30	시편 18:29, 빌립보서 4:13, 히브리서 11:33-34
22:31	신명기 32:4, 시편 12:6, 잠언 30:5, 시편 35:2, 시편 91:4
22:32	이사야 44:6, 신명기 32:31, 시편 18:31-42
22:33	시편 27:1, 이사야 12:2, 이사야 26:7
22:34	이사야 33:15-16, 하박국 3:19
22:36	시편 18:35, 시편 113:6-8
22:37	시편 17:5
22:39	출애굽기 14:13
22:40	사무엘상 23:5, 사무엘상 17:49, 시편 44:3, 시편 44:5
22:41	창세기 49:8, 시편 18:40
22:42	사무엘상 28:6, 잠언 1:28, 이사야 1:15, 미가 3:4
22:44	사무엘상 30:6, 사무엘하 15:12, 사무엘하 8:3, 시편 2:8, 시편 60:8, 시편 18:43-45
22:45	신명기 33:29
22:47	신명기 32:4, 시편 18:46, 시편 89:26
22:48	사무엘상 25:29, 사무엘하 18:19, 시편 18:47, 시편 110:1, 시편 144:1-2
22:49	사무엘하 5:12, 사무엘하 7:9, 시편 18:48
22:50	신명기 32:43, 시편 117:1, 역대기상 16:9, 시편 145:2, 로마서 15:9
22:51	시편 2:6, 시편 21:1, 시편 89:20, 시편 89:29, 누가복음 1:32-33
23:1	창세기 49:1, 신명기 33:1, 사무엘상 17:58, 마태복음 1:6, 사무엘하 7:8, 사무엘상 16:13, 역대기상 16:9
23:2	마가복음 12:36, 디모데 후서 3:16, 사도행전 1:16, 베드로 후서 1:21
23:3	신명기 32:4, 시편 144:1, 잠언 29:2, 이사야 9:7, 이사야 32:1, 출애굽기 18:21, 이사야 11:3
23:4	말라기 4:2, 마태복음 17:2, 요한 계시록 1:16, 시편 72:1, 시편 72:6
23:5	사무엘하 7:16, 사무엘하 7:19, 역대기상 17:11, 시편 89:3, 시편 89:28-29, 시편 132:11, 이사야 9:7, 이사야 11:1, 아모스 9:11
23:6	시편 37:10
23:8	사무엘하 10:7, 사무엘하 20:7, 역대기상 11:10, 역대기상 11:11
23:9	역대기상 27:1, 역대기상 27:4, 역대기상 11:12-14
23:10	사사기 8:4, 사사기 15:14, 사사기 15:16, 사무엘상 14:6, 사무엘상 19:5
23:12	시편 3:8, 시편 44:3
23:13	여호수아 15:20, 여호수아 15:35, 사무엘상 22:1, 여호수아 15:1, 여호수아 15:8, 사무엘하 5:22, 역대기상 11:15-19
23:14	사무엘상 22:1, 사무엘상 22:4, 역대기상 12:16
23:16	레위기 9:9, 레위기 17:13
23:17	창세기 9:4, 레위기 17:10
23:18	사무엘하 2:18, 역대기상 2:15-16, 사무엘상 26:6, 사무엘하 21:17, 역대기상 11:20-21
23:20	사무엘하 8:18, 사무엘하 20:23, 열왕기상 1:8, 열왕기상 2:29, 역대기상 27:5-6, 여호수아 15:21, 역대기상 11:22-25, 잠언 30:30
23:24	사무엘하 2:18, 사무엘하 2:23, 역대기상 2:15-16, 역대기상 27:1, 역대기상 27:7, 역대기상 11:26-41
23:26	역대기상 27:1, 역대기상 27:10, 역대기상 27:1, 역대기상 27:9
23:27	여호수아 21:8, 여호수아 21:18, 예레미야 1:1, 역대기상 27:1, 역대기상 27:12
23:28	역대기상 27:1, 역대기상 27:13
23:30	역대기상 27:1, 역대기상 27:14, 사사기 2:8-9
23:34	사무엘하 15:31, 사무엘하 16:23, 사무엘하 17:23, 역대기상 27:33
23:38	역대기상 2:53
23:39	사무엘하 11:3, 열왕기상 15:5
24:1	역대기상 27:23-24, 역대기상 21:1-3, 사무엘하 21:1
24:2	사무엘하 8:16, 사무엘하 20:23, 사사기 20:1
24:4	민수기 1:2, 역대기상 21:4
24:5	신명기 2:36, 여호수아 13:8-9, 민수기 32:34-35
24:6	민수기 32:40, 창세기 10:15, 창세기 49:13, 여호수아 11:8
24:7	여호수아 19:24, 여호수아 19:29, 여호수아 11:19, 여호수아 15:1, 창세기 21:31, 여호수아 15:21, 여호수아 15:28
24:9	민수기 2:32, 민수기 26:51, 역대기상 21:5-6, 역대기상 27:23
24:10	사무엘상 24:5, 로마서 2:15, 사무엘하 12:13, 시편 130:3, 호세아 14:2, 요한 1서 1:9, 역대기상 21:8-13
24:11	사무엘상 22:5, 역대기상 29:29
24:12	잠언 3:12
24:13	레위기 26:18, 레위기 26:20, 사무엘하 21:1, 레위기 26:14, 레위기 26:17, 레위기 26:16
24:14	히브리서 12:6, 시편 103:8, 시편 119:156, 역대기하 28:1, 역대기하 28:5
24:15	민수기 16:46, 역대기상 27:24, 사무엘하 24:2, 역대기상 21:14-15
24:16	시편 78:38, 예레미야 26:19, 요엘 2:13, 창세기 10:15-16, 여호수아 15:8, 역대기하 3:1
24:17	시편 95:7, 역대기상 21:16-17
24:18	역대기상 21:18-23, 역대기하 3:1
24:21	민수기 16:46-47, 민수기 25:8, 사무엘하 24:15
24:24	역대기상 21:24-28
24:25	출애굽기 20:25, 역대기상 22:1, 사무엘하 21:14, 역대기하 33:13
