4:7	열왕기하 24:1, 열왕기하 25:1, 예레미야 5:6, 예레미야 50:17, 에스겔 26:7, 이사야 5:9, 이사야 6:11, 예레미야 2:15, 예레미야 9:11
4:8	예레미야 6:26
4:9	열왕기하 25:5, 이사야 29:9-10
4:10	에스겔 14:9, 예레미야 6:13-14, 예레미야 14:13, 예레미야 23:16-17
4:13	이사야 5:26, 이사야 5:28, 신명기 28:49-50, 예레미야 애가 4:19, 하박국 1:8
4:14	이사야 1:16, 에스겔 18:31
4:15	예레미야 8:16
4:17	열왕기하 25:1-2, 이사야 63:10, 에스겔 2:3
4:18	시편 107:17
4:19	스바냐 1:15-16
4:20	예레미야 10:20
4:21	예레미야 6:1
4:22	신명기 32:6, 예레미야 5:21
4:23	예레미야 9:10, 이사야 5:30, 요엘 2:31
4:24	이사야 5:25
4:25	스바냐 1:3
4:26	신명기 29:22-23
4:27	레위기 26:32, 역대기하 36:20-21, 이사야 6:11, 예레미야 10:22, 에스겔 33:28
4:28	이사야 24:4, 요엘 1:10, 이사야 5:30, 요엘 2:30-31, 열왕기하 23:26, 에스겔 24:14
4:29	열왕기하 25:4, 이사야 2:19
4:30	에스겔 23:22, 에스겔 23:26, 예레미야 애가 1:2
4:31	예레미야 애가 1:17
5:1	에스겔 22:29, 미가 7:2
5:2	이사야 48:1
5:3	역대기하 16:9, 역대기하 28:20-22, 예레미야 2:30, 스가랴 7:11, 시편 50:17, 이사야 42:24-25, 에스겔 3:7, 스바냐 3:2
5:5	미가 3:1
5:6	에스라 9:6, 이사야 59:12, 에스겔 23:19
5:7	여호수아 23:6-7, 예레미야 2:11, 예레미야 12:16, 스바냐 1:4-5
5:8	에스겔 22:11
5:9	레위기 26:25, 예레미야 9:9, 예레미야 44:22, 나훔 1:2
5:10	레위기 26:44, 예레미야 46:28
5:11	이사야 48:8, 예레미야 3:20, 호세아 5:7, 호세아 6:7
5:12	역대기하 36:15-16, 이사야 28:15, 예레미야 23:17
5:14	예레미야 1:9, 예레미야 23:29
5:15	예레미야 1:15, 예레미야 4:16, 예레미야 25:9, 에스겔 7:24, 하박국 1:6, 신명기 28:49-50
5:17	레위기 26:16
5:18	예레미야 4:27
5:19	신명기 4:27, 신명기 28:48, 신명기 29:24-25, 역대기하 7:21-22
5:21	예레미야 4:22, 이사야 59:10, 이사야 6:9, 에스겔 12:2, 마태복음 13:13
5:22	욥기 38:8, 욥기 38:11, 시편 33:7, 잠언 8:29
5:23	시편 95:10, 예레미야 11:8
5:24	신명기 11:14
5:25	신명기 28:23-24, 예레미야 3:3
5:27	아모스 8:5, 미가 6:11-12
5:28	이사야 1:23, 시편 82:2
5:31	예레미야 14:14, 예레미야 애가 2:14, 에스겔 13:6, 이사야 30:10, 요한복음 3:19
6:1	역대기하 11:5-6, 아모스 1:1, 예레미야 4:5, 예레미야 1:14, 예레미야 10:22
6:2	이사야 3:16
6:3	열왕기하 25:1, 예레미야 4:16-17
6:5	역대기하 36:17, 역대기하 36:19, 아모스 2:5
6:6	에스겔 21:21-22, 열왕기하 21:16, 에스겔 7:23
6:7	에스겔 7:11, 미가 2:2
6:8	에스겔 23:18, 레위기 26:34, 예레미야 9:11
6:10	이사야 6:10, 사도행전 7:51, 역대기하 36:15-16, 예레미야 20:8
6:11	예레미야 20:9, 예레미야 18:21, 에스겔 9:6
6:12	신명기 28:30, 예레미야 8:10, 예레미야 애가 5:11, 스바냐 1:13
6:13	에스겔 22:12, 예레미야 2:8, 예레미야 8:10-12, 예레미야 23:11, 미가 3:5, 미가 3:11, 스바냐 3:4
6:14	예레미야 14:13, 예레미야 23:16-17, 에스겔 13:10, 데살로니가 전서 5:3
6:15	예레미야 3:3
6:16	이사야 30:21, 예레미야 18:15
6:17	예레미야 25:4, 에스겔 3:17, 하박국 2:1, 이사야 58:1, 스가랴 7:11
6:19	신명기 4:25-26, 다니엘 9:12
6:20	이사야 1:11, 이사야 66:3, 예레미야 7:21, 아모스 5:21
6:21	역대기하 36:17, 예레미야 애가 2:21
6:22	예레미야 1:14, 예레미야 25:9
6:23	하박국 1:8
6:24	에스겔 21:7, 예레미야 4:31
6:26	예레미야 4:8, 예레미야 애가 1:2, 예레미야 애가 1:16, 예레미야 15:8
6:28	이사야 30:1, 이사야 48:4, 예레미야 5:23, 예레미야 9:4
6:29	예레미야 9:7, 에스겔 22:20, 에스겔 24:13
6:30	예레미야 14:19, 예레미야 애가 5:22
7:3	예레미야 26:13
7:4	미가 3:11
7:5	예레미야 21:12, 예레미야 22:3
7:6	신명기 24:17, 시편 82:3, 스가랴 7:9-10, 야고보서 1:27, 신명기 8:19
7:8	이사야 30:10, 예레미야 5:31, 예레미야 14:14
7:9	이사야 3:14, 미가 2:2, 예레미야 5:2, 예레미야 11:13
7:11	마태복음 21:13, 마가복음 11:17, 누가복음 19:45-46
