10:11	전도서 8:11, 시편 73:3, 시편 73:11, 시편 94:3, 시편 94:7, 에스겔 8:12, 에스겔 9:9
10:12	시편 3:7, 미가 5:9, 시편 9:12, 시편 35:10
10:14	열왕기하 9:26, 역대기하 6:23, 베드로 전서 4:19, 신명기 10:17-18, 시편 146:9, 히브리서 13:6
10:15	욥기 38:15
10:16	출애굽기 15:18, 시편 145:13, 예레미야 10:10, 다니엘 4:34, 디모데 전서 1:17, 시편 9:5, 시편 44:2
10:17	시편 9:18, 역대기상 29:18-19, 잠언 15:8, 베드로 전서 3:12
10:18	시편 72:4, 이사야 51:12
11:1	역대기하 14:11, 시편 7:1, 시편 56:11
11:4	미가 1:2, 하박국 2:20, 역대기하 20:6, 시편 103:19, 요한 계시록 4:2-3, 역대기하 16:9, 잠언 15:3, 스가랴 4:10, 히브리서 4:13
11:5	창세기 6:5, 창세기 7:1, 잠언 3:31, 잠언 6:16-17
11:6	창세기 19:24, 에스겔 38:22
11:7	신명기 32:4, 시편 146:8, 욥기 36:7, 시편 34:15, 베드로 전서 3:12
12:2	시편 28:3
12:3	출애굽기 15:9-10, 사무엘상 2:3, 에스겔 28:2
12:4	시편 10:5
12:5	출애굽기 3:7
12:6	사무엘하 22:31, 시편 19:8
12:7	사무엘상 2:9
12:8	전도서 8:11
13:1	욥기 13:24, 시편 6:3, 시편 22:2
13:2	시편 22:7-8
13:4	시편 25:2, 시편 35:19
13:5	시편 52:8, 시편 147:11, 베드로 전서 5:6-7, 사무엘상 2:1
13:6	시편 116:7, 시편 119:17
14:1	시편 10:4, 이사야 29:16, 시편 53:0-6, 로마서 3:10-12
14:2	역대기하 16:9, 시편 33:13-15, 히브리서 11:6
14:3	전도서 7:29
14:5	출애굽기 15:16
14:6	시편 9:9, 시편 142:5
14:7	로마서 11:26-27
15:1	시편 2:6, 시편 24:3-4
15:2	시편 1:1, 이사야 33:15-16, 사도행전 10:34-35, 잠언 3:32, 에베소서 4:25
15:3	레위기 19:16, 시편 101:5, 잠언 20:19, 잠언 14:21, 로마서 12:17, 출애굽기 23:1
15:4	에스더 3:2, 여호수아 9:18-20, 사사기 11:34-35, 시편 50:14, 마태복음 5:33
15:5	출애굽기 22:25, 출애굽기 23:8, 시편 16:7-8, 잠언 12:3, 베드로 후서 1:10
16:1	시편 25:20
16:3	시편 119:63
16:4	신명기 8:19, 시편 97:7, 요나 2:8, 출애굽기 23:13, 여호수아 23:6-7
16:5	시편 73:26, 시편 23:5
16:6	시편 78:55
16:7	이사야 48:17, 시편 17:3, 시편 26:2
16:8	시편 139:17-18, 시편 73:23, 사도행전 2:25-28
16:10	시편 49:15, 사도행전 2:31, 사도행전 3:15, 요한 계시록 1:17-18, 욥기 14:13-14, 사도행전 13:34-37
16:11	잠언 12:28, 시편 21:6, 마태복음 5:8
17:1	시편 145:18
17:2	시편 37:5-6
17:3	시편 11:5, 시편 16:7, 고린도 전서 4:4, 시편 26:2, 말라기 3:3, 베드로 전서 1:6-7
17:4	시편 119:9
17:5	시편 18:36, 시편 94:18, 시편 119:133, 시편 121:3
17:6	시편 55:16, 이사야 37:17
17:7	시편 31:21, 예레미야 애가 3:22
17:8	신명기 32:9-10, 스가랴 2:8, 룻기 2:12, 시편 36:7, 시편 57:1
17:9	사무엘상 24:11, 시편 35:4
17:11	사무엘상 23:26
17:13	시편 7:6
17:14	시편 73:12, 마태복음 5:45
17:15	시편 65:4
18:0	사무엘하 22:1
18:1	시편 18:32, 이사야 12:2
18:2	시편 3:3, 시편 37:39-40, 시편 40:17, 신명기 32:4, 창세기 15:1, 사무엘하 22:2-4
18:3	시편 50:15
18:4	사무엘상 20:3, 시편 116:3, 사무엘하 20:1, 사무엘하 22:5-6, 시편 22:16
18:5	전도서 9:12
18:6	시편 11:4, 사무엘하 22:7, 시편 10:17, 시편 34:15, 베드로 전서 3:12
18:7	사사기 5:4, 사무엘하 22:8-16, 시편 77:18
18:8	이사야 30:27
18:9	시편 144:5, 이사야 64:1, 사무엘하 22:10
18:10	시편 99:1, 시편 104:3, 히브리서 1:7
18:11	시편 97:2, 욥기 36:29
18:13	사무엘상 2:10, 사무엘상 7:10, 사무엘하 22:14, 시편 29:3
18:14	이사야 30:30, 욥기 36:32, 시편 144:6
18:15	시편 74:15, 시편 106:9, 시편 114:1, 시편 114:3, 출애굽기 15:8, 사무엘하 22:16
18:16	사무엘하 22:17-20, 시편 124:2-4
18:17	시편 3:7, 시편 35:10
18:18	사무엘상 19:11, 사무엘상 23:26
18:19	시편 149:4
18:20	사무엘상 26:23, 열왕기상 8:32, 사무엘상 24:11, 사무엘하 22:21-25, 시편 24:3-4
18:23	시편 84:11, 사무엘하 22:24, 잠언 14:16
18:24	이사야 3:10, 히브리서 11:6, 사무엘하 22:25, 잠언 5:21
18:25	시편 97:10, 사무엘하 22:26-31, 욥기 34:11, 예레미야 32:19
18:26	마태복음 5:8, 시편 125:5
18:27	욥기 34:28, 잠언 6:16-17, 이사야 2:11, 누가복음 18:14
18:28	시편 97:11, 이사야 42:16
18:29	사무엘하 5:19, 히브리서 11:32-34, 사무엘하 22:30, 빌립보서 4:13
18:30	신명기 32:4, 다니엘 4:37, 요한 계시록 15:3, 시편 12:6, 시편 19:8, 시편 18:2, 시편 84:11
18:31	시편 86:8, 이사야 45:5, 신명기 32:31, 사무엘상 2:2, 사무엘하 22:32-43
18:32	시편 84:5, 시편 84:7, 이사야 26:7
18:33	하박국 3:19
18:35	창세기 15:1, 신명기 33:29, 시편 28:7, 사무엘하 22:36, 시편 113:6-8
18:36	시편 17:5
18:38	시편 2:8-9
18:39	시편 44:5
18:40	사무엘하 22:41, 시편 34:21
18:43	사무엘상 30:6, 사무엘하 8:3, 시편 2:8, 사무엘하 22:44-46
18:44	신명기 33:29
18:46	신명기 32:4, 출애굽기 15:2, 사무엘하 22:47-49
18:47	신명기 32:35, 나훔 1:2, 로마서 12:19
18:48	사무엘하 7:9, 시편 59:1
18:49	신명기 32:43, 시편 117:1, 이사야 11:10, 사무엘하 22:50-51, 역대기상 16:9, 로마서 15:9
