4:12	열왕기하 23:29, 여호수아 17:11, 사무엘상 31:8, 사무엘상 31:10, 여호수아 21:34
4:13	신명기 4:41-43, 열왕기상 22:3, 민수기 32:1, 민수기 32:41, 신명기 3:14, 여호수아 13:8, 여호수아 13:11, 신명기 3:4
4:14	창세기 32:1-2, 사무엘하 2:8-9
4:18	여호수아 18:11, 열왕기상 1:8
4:19	여호수아 17:1, 민수기 21:21, 신명기 3:4
4:20	창세기 22:15, 창세기 22:17, 전도서 2:24
4:21	창세기 15:18, 출애굽기 23:31, 사무엘하 8:3, 시편 72:8-10, 시편 72:10
4:24	창세기 10:19, 여호수아 1:4, 열왕기상 5:4, 역대기상 22:9, 시편 72:7
4:26	신명기 17:15-16, 열왕기상 10:24-26, 역대기하 1:14, 역대기하 1:17
4:27	열왕기상 4:7
4:29	열왕기상 10:23, 역대기하 1:10, 잠언 2:6
4:30	사도행전 7:22
4:31	시편 89:0, 시편 88:0, 역대기상 2:4, 역대기상 2:6, 열왕기상 10:1, 열왕기상 10:7, 누가복음 11:31
4:32	잠언 1:1, 전도서 12:9, 솔로몬의 노래 1:1
4:33	출애굽기 12:22, 잠언 30:30, 잠언 30:19, 잠언 6:6, 잠언 30:25
4:34	역대기하 9:1, 역대기하 9:23
5:1	에스겔 27:3, 사무엘하 5:11
5:2	역대기하 2:3
5:3	사무엘하 7:5, 역대기상 22:7-8
5:4	열왕기상 4:24-25, 잠언 16:7
5:5	사무엘하 7:12-13, 역대기상 22:9-10, 역대기하 2:4
5:6	열왕기상 6:9, 열왕기상 6:20, 역대기하 2:8
5:7	역대기하 2:11-12
5:8	사무엘하 6:5, 열왕기상 6:15, 역대기하 3:5
5:9	역대기하 2:15-16, 에스라 3:7
5:11	역대기하 2:10
5:12	열왕기상 3:12, 열왕기상 4:29, 야고보서 1:5
5:13	열왕기상 9:15
5:14	사무엘하 20:24, 열왕기상 4:6, 열왕기상 12:18
5:15	역대기상 22:15, 여호수아 16:10, 열왕기상 9:20-22, 역대기하 2:2, 역대기하 2:17-18, 역대기하 8:7-9
5:16	열왕기상 9:23
5:17	열왕기상 6:7, 요한 계시록 21:14, 열왕기상 7:9, 역대기상 22:2
5:18	여호수아 13:1, 여호수아 13:5
6:1	출애굽기 12:14, 출애굽기 12:51, 열왕기상 6:37, 역대기상 28:11-12, 역대기하 3:1-2
6:2	역대기하 3:3, 에스라 6:3
6:3	역대기하 3:4
6:4	에스겔 41:26
6:5	레위기 16:2, 역대기하 5:7, 히브리서 9:3, 열왕기상 6:10, 에스겔 41:5, 에스겔 41:26
6:6	에스겔 41:6-7
6:7	열왕기상 5:17
6:8	에스겔 41:11
6:9	열왕기상 6:38, 열왕기상 5:6, 열왕기상 6:20
6:10	열왕기상 6:5
6:12	신명기 17:18-19, 열왕기상 8:25, 역대기상 28:9, 사무엘하 7:13, 역대기상 22:9
6:13	출애굽기 25:8, 레위기 26:12, 시편 132:13, 역대기상 28:20
6:15	열왕기상 5:8, 역대기하 3:5
6:16	열왕기상 6:5, 역대기하 3:8-9, 히브리서 9:3
6:17	히브리서 9:2
6:18	열왕기상 7:24, 출애굽기 25:33
6:19	히브리서 9:3, 출애굽기 40:21, 열왕기상 8:6
6:20	열왕기상 6:16, 출애굽기 30:1, 열왕기상 7:48
6:21	출애굽기 26:29, 역대기하 3:7, 출애굽기 26:33
6:22	출애굽기 30:1, 출애굽기 30:3, 출애굽기 40:5
6:23	창세기 3:24, 열왕기하 19:15, 시편 99:1, 역대기하 3:10-13, 역대기하 5:8
6:27	시편 80:1, 이사야 37:16, 히브리서 9:4-5
6:29	역대기하 3:14, 에스겔 41:17-18, 출애굽기 25:33, 열왕기상 6:18
6:34	에스겔 41:24-25
6:36	열왕기상 7:12, 출애굽기 27:9, 역대기하 4:9, 역대기하 7:7
6:37	열왕기상 6:1
6:38	역대기상 28:11-12
7:1	열왕기상 9:10, 전도서 2:4-5
7:2	열왕기상 10:16-17, 이사야 22:8, 열왕기상 5:8
