3:3	말라기 4:5-6, 마태복음 3:1-2, 마가복음 1:4, 누가복음 1:76-77
3:4	마태복음 3:3, 마가복음 1:3, 요한복음 1:23
3:6	이사야 40:3-5, 이사야 52:10, 누가복음 2:30-31, 사도행전 28:28
3:7	마태복음 3:7-10, 마태복음 23:33
3:9	마태복음 7:19
3:11	사도행전 10:1-2, 고린도 후서 8:14, 디모데 전서 6:18, 야고보서 2:15-16, 요한 1서 3:17
3:12	마태복음 21:32, 누가복음 7:29
3:13	누가복음 19:2, 누가복음 19:8, 고린도 전서 6:10
3:14	출애굽기 23:1, 출애굽기 23:7, 레위기 19:11
3:15	요한복음 1:25
3:16	요한복음 1:26-27, 마태복음 3:11-12, 마가복음 1:7-8, 사도행전 2:1, 사도행전 2:4
3:20	마태복음 4:12, 마태복음 14:3-5, 마가복음 1:14, 마가복음 6:17-20
3:21	마태복음 3:13, 마태복음 3:16, 마가복음 1:9-10
3:22	시편 2:7, 마태복음 3:17, 마태복음 17:5, 마가복음 1:11, 요한복음 1:32-34
3:23	마태복음 1:1-17, 민수기 4:2-3, 마태복음 1:16, 마태복음 13:55, 누가복음 4:22, 요한복음 6:42
3:27	에스라 3:2, 역대기상 3:17, 마태복음 1:12
3:31	사무엘하 5:13-14, 역대기상 3:5, 사무엘상 16:13, 사무엘상 17:58, 마태복음 1:6
3:32	이사야 11:1, 룻기 4:17, 룻기 4:13, 룻기 4:21, 민수기 1:4, 민수기 1:7, 민수기 2:3, 역대기상 2:11
3:33	역대기상 2:10, 창세기 46:12, 룻기 4:12, 룻기 4:18-19, 역대기상 2:4-5, 창세기 29:35, 역대기상 2:1
3:34	창세기 25:26, 창세기 21:2-3, 역대기상 1:28, 창세기 11:24, 창세기 11:26-27, 창세기 11:22
3:35	창세기 11:20, 창세기 11:18, 창세기 11:16, 창세기 11:14, 역대기상 1:25, 창세기 11:12
3:36	창세기 11:10, 창세기 5:32, 창세기 5:29, 창세기 5:25
3:37	창세기 5:21, 창세기 5:18, 유다서 1:14, 창세기 5:19, 창세기 5:12, 창세기 5:16, 창세기 5:9, 역대기상 1:2
3:38	창세기 4:26, 창세기 5:10, 창세기 5:7, 창세기 5:1, 창세기 5:4, 역대기상 1:1
4:1	마태복음 4:1-4, 마가복음 1:12-13
4:2	히브리서 2:18
4:4	신명기 8:3
4:5	마태복음 4:8-10
4:6	요한복음 12:31, 요한복음 14:30, 에베소서 2:2, 요한 계시록 13:2
4:8	출애굽기 20:3, 신명기 6:13, 신명기 10:20
4:9	마태복음 4:5-7
4:11	시편 91:11-12
4:12	신명기 6:16, 고린도 전서 10:9
4:13	마태복음 4:11, 히브리서 4:15
4:14	마태복음 4:12, 요한복음 4:3, 사도행전 10:37-38
4:16	마태복음 2:23, 누가복음 2:39, 사도행전 13:13-14, 사도행전 17:1-2
4:18	이사야 42:1-4, 마태복음 12:20
4:19	이사야 61:1-2
4:21	마태복음 5:17
4:22	시편 45:2, 이사야 50:4, 마태복음 13:54, 마가복음 6:2, 요한복음 6:42
