1:1	누가복음 1:3, 누가복음 3:23
18:25	마가복음 1:4, 사도행전 19:2-3
18:26	로마서 16:3, 고린도 전서 16:19
18:28	신명기 18:15, 시편 16:10, 이사야 7:14, 미가 5:2
19:1	사도행전 18:24, 고린도 전서 3:5-6, 고린도 전서 16:8-9
19:2	사도행전 2:38
19:3	사도행전 18:24-25
19:4	마태복음 3:11, 마가복음 1:4, 요한복음 1:15, 요한복음 1:30
19:6	사도행전 8:14, 사도행전 8:17, 사도행전 2:1, 사도행전 2:4, 사도행전 10:45-46, 고린도 전서 12:8, 고린도 전서 12:10
19:8	사도행전 17:2, 사도행전 1:3, 사도행전 28:23, 사도행전 28:30-31
19:9	사도행전 9:1-2, 사도행전 22:4, 마태복음 10:14
19:11	사도행전 14:3
19:12	마가복음 6:56, 사도행전 5:15, 마태복음 10:1
19:13	사도행전 16:18
19:15	마태복음 8:28-29, 마가복음 1:23-24, 누가복음 4:33-34, 사도행전 16:16-17
19:19	신명기 18:10-11
19:20	사도행전 6:7, 사도행전 12:24, 골로새서 1:6
19:21	고린도 전서 16:5, 사도행전 20:22, 사도행전 23:11, 로마서 1:15
19:22	사도행전 16:1-2, 디모데 후서 4:20
19:23	사도행전 9:1-2, 사도행전 19:9, 사도행전 22:4, 고린도 후서 1:8
19:24	사도행전 16:16
19:26	사도행전 14:15, 사도행전 17:29, 고린도 전서 8:4, 에베소서 1:1
19:29	사도행전 20:4, 골로새서 4:10, 빌레몬서 1:23-24, 고린도 후서 6:4-5
19:38	사도행전 19:24
20:1	고린도 전서 16:5-6, 고린도 후서 2:12-13, 고린도 후서 7:5-7
20:3	사도행전 9:23, 사도행전 23:12, 사도행전 23:16, 사도행전 25:2-3, 고린도 후서 11:23, 고린도 후서 11:26
20:4	사도행전 19:29, 사도행전 27:2, 사도행전 16:1-2, 에베소서 6:21, 골로새서 4:7, 디모데 후서 4:12, 사도행전 21:29, 디모데 후서 4:20
20:5	사도행전 16:11
20:6	출애굽기 12:15, 출애굽기 23:15
20:10	열왕기상 17:21-22, 열왕기하 4:32, 열왕기하 4:34, 마태복음 9:23-24, 요한복음 11:39-40, 사도행전 9:39-40
20:16	사도행전 18:21, 레위기 23:16, 신명기 16:9-11, 사도행전 24:17
20:18	사도행전 19:9-10
20:19	고린도 전서 15:9, 데살로니가 전서 2:6
20:20	사도행전 5:42, 마태복음 28:19-20, 디모데 후서 4:2
20:21	마가복음 1:14-15, 누가복음 24:46-47
20:22	사도행전 19:21
20:23	사도행전 9:15-16, 사도행전 21:4, 사도행전 21:11
20:24	고린도 후서 4:1, 고린도 후서 5:18, 사도행전 21:13, 디모데 후서 4:7
20:26	에스겔 33:8, 사도행전 18:6
20:27	마태복음 28:19-20
20:28	디모데 전서 4:16, 디모데 전서 3:1-7, 디도서 1:5-9, 히브리서 13:17, 마태복음 26:27-28, 요한 1서 1:7, 잠언 27:23, 요한복음 21:15, 에베소서 4:11, 베드로 전서 5:2-4
20:29	마태복음 7:15, 데살로니가 후서 2:3, 베드로 후서 2:1
20:30	디모데 전서 4:1, 디모데 후서 4:3-4, 요한 1서 2:18-19
20:31	사도행전 19:9-10
20:32	에베소서 1:18, 골로새서 1:12
20:33	사무엘상 12:1, 사무엘상 12:3, 마태복음 10:8, 고린도 전서 9:11-12, 고린도 후서 7:2, 디도서 1:7
20:34	사도행전 18:3, 고린도 전서 4:11-12, 데살로니가 전서 2:9
20:35	에베소서 4:28, 데살로니가 전서 4:11-12, 데살로니가 후서 3:7-8, 잠언 19:17, 마태복음 10:8, 누가복음 6:38
20:38	사도행전 20:25
21:4	사도행전 21:10-12
21:8	사도행전 6:3, 사도행전 6:5, 사도행전 8:40
21:9	요엘 2:28, 사도행전 2:17, 고린도 전서 11:5
21:10	사도행전 11:27-28
21:11	사도행전 20:22-23, 사도행전 21:33, 사도행전 9:15-16
21:13	사도행전 20:24, 고린도 후서 4:10-11, 디모데 후서 4:6
21:18	사도행전 12:17, 사도행전 15:13, 갈라디아서 1:19, 갈라디아서 2:9, 야고보서 1:1
21:20	사도행전 15:1
21:21	사도행전 6:14, 로마서 2:28-29, 고린도 전서 7:18-20
21:24	고린도 전서 9:20
21:25	창세기 35:2, 출애굽기 34:15, 창세기 9:4, 레위기 3:17, 레위기 17:10, 사무엘상 14:32-33, 레위기 17:13, 신명기 12:23-24, 사도행전 15:28-29, 고린도 전서 6:9, 골로새서 3:5, 데살로니가 전서 4:3, 베드로 전서 4:3
21:26	고린도 전서 9:20
21:28	사도행전 24:5-6
21:29	사도행전 20:4, 디모데 후서 4:20
21:33	사도행전 20:22-23, 사도행전 21:10-11
21:39	빌립보서 3:4-5, 사도행전 22:3
21:40	사도행전 22:2, 사도행전 26:14
22:1	빌립보서 1:7
22:3	사도행전 21:39, 로마서 11:1, 사도행전 5:34, 사도행전 26:4-5, 갈라디아서 1:14, 빌립보서 3:4-6
22:4	사도행전 8:3, 사도행전 9:1-2, 사도행전 26:9-11, 디모데 전서 1:12-13
22:6	사도행전 9:3-8, 사도행전 26:13-15
22:9	사도행전 9:7
22:10	사도행전 26:16
22:12	사도행전 9:10
22:13	사도행전 9:17-18
22:14	고린도 전서 9:1, 고린도 전서 15:8, 갈라디아서 1:15-16
22:15	사도행전 23:11, 사도행전 26:16
22:16	사도행전 10:43, 고린도 전서 6:11, 요한 1서 1:7, 요한 계시록 1:5
22:17	사도행전 9:26, 갈라디아서 1:18
22:18	사도행전 9:28-29
22:19	사도행전 8:3
22:20	사도행전 7:58, 사도행전 8:1, 디모데 전서 1:13, 디모데 전서 1:15
22:21	사도행전 9:15, 사도행전 13:2, 로마서 1:5, 로마서 11:13, 갈라디아서 2:7, 디모데 전서 2:7
22:23	사무엘하 16:13
22:25	사도행전 16:37-38, 사도행전 23:27
22:28	사도행전 16:37
22:29	사도행전 25:16
22:30	마태복음 10:17-18, 누가복음 21:12
23:1	사도행전 24:15-16, 고린도 후서 1:12, 디모데 후서 1:3, 히브리서 13:18, 베드로 전서 3:16
23:2	요한복음 18:22
23:5	출애굽기 22:28
23:6	사도행전 26:4-5, 빌립보서 3:4-5
23:8	사도행전 4:1-2
23:9	사도행전 22:6-7, 사도행전 22:17-18
23:11	사도행전 18:9, 사도행전 19:21, 사도행전 27:23-24, 사도행전 28:23, 사도행전 28:30-31
23:12	사도행전 9:23
23:20	사도행전 23:15
23:21	사도행전 23:12
23:24	사도행전 24:27
23:27	사도행전 16:37, 사도행전 22:25, 사도행전 21:31-33
23:28	사도행전 22:30
23:29	사도행전 25:19, 사도행전 25:25, 사도행전 26:31-32
23:30	사도행전 23:16
23:31	사도행전 23:23-24
23:34	사도행전 21:39, 사도행전 22:3
23:35	사도행전 24:1
24:1	사도행전 23:2, 사도행전 23:26
24:5	마태복음 5:11, 사도행전 16:20-21, 사도행전 17:6-7, 누가복음 23:1-2, 마태복음 2:23, 사도행전 28:22
24:6	사도행전 21:27-28
24:10	빌립보서 1:7
24:11	사도행전 21:17, 사도행전 21:26
24:14	출애굽기 3:15, 사도행전 3:13, 디모데 후서 1:3, 사도행전 26:22-23, 사도행전 28:23, 로마서 3:21
24:15	누가복음 23:43, 이사야 26:19, 마태복음 22:31-32, 누가복음 14:13-14, 요한복음 5:28-29, 요한복음 11:25, 히브리서 11:35, 요한 계시록 20:12
24:16	사도행전 23:1, 고린도 전서 4:4, 히브리서 13:18
24:17	로마서 15:26, 고린도 전서 16:1, 고린도 후서 8:4
24:18	사도행전 21:24, 사도행전 21:26, 사도행전 21:27
24:19	사도행전 25:16
24:21	사도행전 23:6
24:22	사도행전 9:1-2, 사도행전 19:9
24:24	마태복음 10:18
24:25	사도행전 17:30-31, 고린도 후서 5:10
24:27	사도행전 25:9
25:1	사도행전 24:27
25:2	사도행전 24:1
25:3	사도행전 23:20-21
25:5	사도행전 25:16
25:7	마태복음 5:11, 누가복음 23:1-2, 사도행전 24:5-6
25:8	사도행전 24:11-12
25:9	사도행전 24:27
25:11	사도행전 23:26, 사도행전 23:29, 사도행전 28:17-19
25:14	사도행전 24:27
25:15	사도행전 25:2-3
25:16	사도행전 25:5
25:18	사도행전 25:7
25:19	사도행전 18:14-15, 사도행전 23:26, 사도행전 23:29, 사도행전 22:6-8
25:20	사도행전 25:9
25:21	사도행전 25:11-12
25:22	사도행전 9:15
25:24	사도행전 22:22
25:25	사도행전 23:26, 사도행전 23:29
26:1	사도행전 25:13
26:2	사도행전 24:5, 사도행전 24:9
26:5	갈라디아서 1:13-14, 사도행전 22:3, 사도행전 23:6, 빌립보서 3:4-5
26:6	사도행전 24:15
26:7	사도행전 24:20-21
26:10	사도행전 9:1-2, 사도행전 9:14, 요한복음 16:2, 사도행전 8:3, 고린도 전서 15:9, 갈라디아서 1:13, 갈라디아서 1:23, 디모데 전서 1:13
26:13	사도행전 9:3-5, 사도행전 22:6-8
26:16	사도행전 22:14-15, 갈라디아서 1:11-12, 디모데 전서 1:12
26:17	사도행전 22:21, 로마서 11:13
26:18	이사야 61:1, 골로새서 1:13, 이사야 42:7, 요한복음 8:12, 고린도 후서 4:6, 요한복음 12:31, 요한복음 14:30, 요한복음 16:11, 에베소서 2:1-2, 요한 1서 3:5
26:20	사도행전 9:22, 사도행전 9:28, 마태복음 3:8
26:21	사도행전 21:30-31
26:22	누가복음 24:27, 누가복음 24:44, 사도행전 24:14, 로마서 3:21
26:23	시편 22:7, 시편 35:19, 이사야 50:6, 이사야 53:5, 시편 16:10, 시편 18:49, 이사야 11:10, 누가복음 2:30-32
26:26	요한복음 18:20
26:31	사도행전 23:26, 사도행전 23:29, 사도행전 25:24-25
26:32	사도행전 25:11-12
27:1	사도행전 25:12
27:2	사도행전 19:29, 사도행전 20:4, 골로새서 4:10
27:9	레위기 16:29-30, 레위기 23:27
27:18	요나 1:5
27:21	사도행전 27:9-10
27:23	사도행전 5:18-19, 히브리서 1:7, 히브리서 1:14
27:24	사도행전 23:11, 사도행전 25:11-12
27:26	사도행전 28:1
27:31	사도행전 27:22
27:38	요나 1:5
27:39	사도행전 28:1
27:41	사도행전 27:22, 고린도 후서 11:25
27:44	사도행전 27:23-24
28:1	사도행전 27:26
28:2	고린도 후서 11:27
28:6	사도행전 14:11
28:8	누가복음 4:38-39
28:9	마태복음 10:8
28:15	고린도 후서 1:3-4
28:17	사도행전 24:11-12, 사도행전 25:8, 사도행전 21:33
28:18	사도행전 24:10, 사도행전 23:26, 사도행전 23:29, 사도행전 25:24-25, 사도행전 26:31-32
28:19	사도행전 25:11-12
28:20	사도행전 23:6, 사도행전 26:6, 에베소서 6:19-20, 디모데 후서 1:16
28:22	사도행전 24:14, 누가복음 2:34, 요한복음 15:19
28:23	요한복음 5:46, 사도행전 26:22-23, 사도행전 17:2-3
28:26	로마서 11:8
28:27	이사야 6:9-10, 마태복음 13:14-15
28:28	누가복음 3:4, 누가복음 3:6, 사도행전 13:45-46, 사도행전 22:21, 로마서 11:11, 시편 67:2, 시편 98:3, 이사야 11:10, 사도행전 13:48, 사도행전 14:27
28:30	사도행전 28:16
28:31	에베소서 6:19, 사도행전 1:3, 사도행전 19:8
