1:1	요한복음 12:48-49, 골로새서 1:15, 요한 계시록 3:14, 요한 계시록 19:11, 요한 계시록 19:13, 잠언 8:22, 잠언 8:30, 요한복음 17:5, 이사야 9:6, 요한복음 1:18, 요한복음 10:35-36, 빌립보서 2:5-6
3:19	요한복음 1:9, 요한복음 8:12, 요한복음 9:5, 요한복음 12:46, 요한복음 12:48, 욥기 24:13-17, 이사야 5:20, 요한 1서 2:9
3:21	요한복음 12:36, 요한복음 12:46, 요한 1서 1:7
3:22	요한복음 4:2
3:23	마가복음 1:10, 사도행전 8:38, 마태복음 3:1, 마태복음 3:5-6
3:24	마태복음 14:3, 누가복음 3:19-20
3:26	요한복음 1:6-7, 요한복음 1:33-34
3:28	요한복음 1:19-20, 사도행전 13:25, 말라기 3:1, 마태복음 11:7, 마태복음 11:10, 누가복음 1:13, 누가복음 1:17, 요한복음 1:8
3:29	마태복음 22:2, 고린도 후서 11:2, 에베소서 5:25, 요한 계시록 21:9
3:30	요한복음 4:1-2
3:31	요한복음 8:23, 마태복음 3:11
3:32	요한복음 8:26, 요한복음 15:15, 요한복음 1:11, 요한복음 3:11
3:33	요한 1서 5:10
3:34	요한복음 7:16, 요한복음 8:28, 요한복음 12:49-50, 요한복음 14:10, 요한복음 14:24
3:35	요한복음 5:20, 요한복음 15:9-10, 마태복음 11:27, 누가복음 10:22
3:36	요한복음 3:16, 요한복음 6:47, 로마서 1:17, 히브리서 5:9, 데살로니가 후서 1:7-8, 요한 1서 5:12, 로마서 2:8, 에베소서 5:5-6, 히브리서 10:26-27
4:1	요한복음 3:22
4:3	마태복음 4:12, 누가복음 4:14
4:5	창세기 33:18-19, 여호수아 24:32
4:6	요한복음 4:12
4:9	열왕기하 17:24, 누가복음 9:52-53, 사도행전 10:28
4:10	에베소서 2:8, 요한복음 7:37
4:14	요한복음 6:35, 요한복음 7:38, 로마서 6:23, 요한 1서 5:20, 요한 계시록 22:17
4:19	마태복음 21:11, 누가복음 7:16, 누가복음 24:19, 요한복음 9:17
4:20	신명기 12:5-6, 열왕기상 9:3, 역대기하 7:12, 시편 122:0-9
4:22	열왕기하 17:29, 열왕기하 17:33, 이사야 2:3, 로마서 9:4
4:23	역대기하 16:9, 시편 43:3, 디모데 전서 2:3-4, 요한 2서 1:4
4:24	고린도 후서 3:17, 디모데 전서 1:17, 히브리서 11:27, 로마서 12:1
4:25	신명기 18:18
4:26	요한복음 9:35-37
4:31	요한복음 1:38
4:34	마태복음 4:4, 마태복음 26:42, 요한복음 6:38, 히브리서 10:7, 요한복음 5:17, 요한복음 5:30, 요한복음 5:36, 요한복음 17:4, 요한복음 19:30
4:35	마태복음 9:37
4:36	고린도 전서 3:8
4:39	요한복음 4:29
4:42	이사야 49:6, 마태복음 1:21, 요한복음 1:29, 디모데 전서 1:15, 요한 1서 4:14
4:44	마태복음 13:57, 마가복음 6:4, 누가복음 4:24
4:45	신명기 16:16, 요한복음 2:23
4:46	요한복음 2:1-11
4:48	마태복음 16:1, 요한복음 2:18, 고린도 전서 1:22
4:50	마태복음 8:13, 마가복음 7:29-30
4:52	마태복음 8:14-15, 사도행전 28:8
4:53	마태복음 8:13
4:54	요한복음 2:11
5:1	출애굽기 12:14, 신명기 16:1, 신명기 16:16, 요한복음 2:13, 요한복음 6:4
5:2	느헤미야 3:1
5:6	시편 72:13, 이사야 53:3
5:8	마태복음 9:6, 마가복음 2:10-11, 누가복음 5:24-25, 사도행전 3:7
5:9	요한복음 9:14
