1:1	창세기 46:8
6:26	출애굽기 7:2, 출애굽기 7:4, 출애굽기 12:41, 사도행전 7:35
6:27	시편 77:20
6:30	출애굽기 4:10, 출애굽기 6:12
7:1	출애굽기 4:14-16, 출애굽기 4:30
7:3	출애굽기 4:21, 출애굽기 7:13, 출애굽기 7:22, 출애굽기 8:15, 출애굽기 8:19, 출애굽기 9:12, 출애굽기 9:35, 출애굽기 10:20, 출애굽기 10:27, 출애굽기 11:10, 출애굽기 14:8, 로마서 9:17-18, 출애굽기 3:19-20, 시편 105:26-27, 사도행전 7:36
7:4	출애굽기 12:12, 출애굽기 12:51
7:5	출애굽기 7:17, 출애굽기 8:9-10, 출애굽기 8:22, 출애굽기 9:29, 출애굽기 14:4
7:7	신명기 34:7, 사도행전 7:22-23
7:9	출애굽기 4:2-3
7:11	창세기 41:8, 디모데 후서 3:8, 출애굽기 7:20, 출애굽기 7:22, 출애굽기 8:7, 출애굽기 8:18, 출애굽기 9:11
7:13	출애굽기 7:3
7:14	출애굽기 10:1
7:15	출애굽기 4:2-3
7:16	출애굽기 3:18
7:17	출애굽기 7:5, 출애굽기 8:9-10, 출애굽기 8:22, 출애굽기 9:29, 출애굽기 14:4
7:19	출애굽기 8:5, 출애굽기 9:22, 출애굽기 10:12, 출애굽기 14:21
7:20	시편 78:44
7:21	시편 105:29, 출애굽기 7:18, 출애굽기 7:24
7:22	출애굽기 7:11-12, 출애굽기 8:7, 출애굽기 8:18, 출애굽기 9:11, 디모데 후서 3:8, 출애굽기 3:19
8:1	출애굽기 3:12
8:2	시편 78:45
8:3	시편 105:30
8:7	출애굽기 7:11-12, 출애굽기 7:20, 출애굽기 7:22, 출애굽기 8:17-18, 출애굽기 9:11, 디모데 후서 3:8
8:8	출애굽기 10:16-19
8:10	출애굽기 9:14, 출애굽기 15:11, 시편 83:18, 시편 86:8, 이사야 46:9, 예레미야 10:6-7, 로마서 9:17
8:11	출애굽기 8:3
8:12	출애굽기 8:30-31, 출애굽기 9:33
8:15	출애굽기 4:21, 출애굽기 7:3
8:17	시편 105:31
8:18	출애굽기 7:11-12, 출애굽기 7:20, 출애굽기 7:22, 출애굽기 8:7, 출애굽기 9:11
8:19	출애굽기 31:18, 누가복음 11:20
8:22	출애굽기 9:4, 출애굽기 9:26, 출애굽기 10:23, 출애굽기 12:13, 사무엘상 17:46, 열왕기상 20:28, 열왕기하 19:17, 열왕기하 19:19
8:24	출애굽기 8:3, 시편 78:45, 시편 105:31
8:26	창세기 46:33-34, 출애굽기 10:25-26
8:27	출애굽기 3:18
8:28	출애굽기 8:8, 출애굽기 9:28
8:29	출애굽기 8:15
8:30	출애굽기 9:33
9:1	출애굽기 5:1, 출애굽기 8:1
