1:1	창세기 46:8
23:21	민수기 14:35, 여호수아 24:19
23:23	출애굽기 34:11, 여호수아 5:13-14, 여호수아 24:8
23:24	출애굽기 20:5, 레위기 18:3, 신명기 12:30, 역대기하 33:2, 출애굽기 20:3, 민수기 33:52
23:25	신명기 6:13, 신명기 10:12, 여호수아 22:5, 마태복음 4:10, 신명기 7:13, 신명기 7:15
23:26	신명기 7:14, 신명기 28:4
23:27	신명기 2:25, 여호수아 2:9, 신명기 7:23-24
23:28	신명기 7:20, 여호수아 2:11, 여호수아 24:11
23:29	신명기 7:22
23:30	신명기 9:4
23:31	창세기 15:18, 신명기 1:7, 여호수아 1:4, 열왕기상 4:21, 사사기 1:4, 사사기 11:21
23:32	출애굽기 34:12, 민수기 25:1-2, 신명기 7:2, 고린도 후서 6:14
23:33	여호수아 23:12-13, 사사기 1:28, 시편 106:36
24:1	레위기 10:1
24:2	출애굽기 20:21, 민수기 12:8
24:3	출애굽기 21:1, 신명기 4:1, 신명기 5:27, 여호수아 24:22
24:4	출애굽기 34:27, 신명기 31:9
24:5	레위기 3:1, 레위기 7:11
24:7	신명기 31:11, 사도행전 13:15, 출애굽기 19:8
24:8	히브리서 12:24, 히브리서 9:18-20
24:10	요한복음 1:18, 에스겔 1:26, 요한 계시록 4:3
24:11	출애굽기 24:1
24:12	신명기 5:22
24:13	민수기 11:28, 출애굽기 24:2
24:14	출애굽기 32:1, 출애굽기 17:10, 출애굽기 18:25-26
24:15	출애굽기 19:9
24:16	출애굽기 16:10, 레위기 9:23, 민수기 16:42, 출애굽기 19:11
24:18	출애굽기 19:20, 출애굽기 34:28, 신명기 9:9
25:2	출애굽기 35:4-9, 역대기상 29:9, 고린도 후서 9:7
25:3	출애굽기 38:24, 출애굽기 38:25, 출애굽기 38:3, 출애굽기 38:29
25:5	출애굽기 36:20
25:6	출애굽기 27:20, 출애굽기 30:23-25, 출애굽기 30:34-35
25:7	출애굽기 28:6, 출애굽기 28:15
25:8	출애굽기 29:45, 열왕기상 6:13, 히브리서 9:11
25:9	역대기상 28:12, 사도행전 7:44, 히브리서 8:5, 히브리서 9:9
25:10	출애굽기 37:1-5
25:11	히브리서 9:4, 출애굽기 30:1, 출애굽기 30:3
25:13	출애굽기 30:1, 출애굽기 30:5, 역대기상 15:15
25:15	열왕기상 8:8
25:16	출애굽기 31:18, 출애굽기 40:20, 열왕기상 8:9, 히브리서 9:4
25:17	출애굽기 37:6-9
25:18	사무엘상 4:4, 히브리서 9:5
25:20	열왕기상 8:7, 역대기상 28:18
25:21	출애굽기 40:20, 히브리서 9:4-5
25:22	출애굽기 30:6, 레위기 16:2, 민수기 7:89, 사사기 20:27, 시편 80:1
25:23	출애굽기 40:22, 레위기 24:6, 민수기 3:30-31, 히브리서 9:2, 출애굽기 37:10-15
25:29	출애굽기 37:16, 민수기 4:7, 열왕기상 7:48, 열왕기상 7:50
25:30	레위기 24:5-6, 사무엘상 21:6, 역대기상 9:32, 역대기하 13:11, 마태복음 12:4
25:31	출애굽기 40:24, 열왕기상 7:48-49, 히브리서 9:2, 출애굽기 37:17-24
25:36	민수기 8:4
25:37	출애굽기 30:8, 레위기 24:2-3, 민수기 8:2, 역대기하 13:11
25:38	민수기 4:9
25:40	출애굽기 39:42, 민수기 8:4, 사도행전 7:44, 히브리서 8:5
26:1	히브리서 8:5, 히브리서 9:9, 히브리서 9:11, 창세기 3:24, 시편 99:1, 출애굽기 36:8-13
26:2	민수기 4:25
26:6	출애굽기 39:33-34
26:7	출애굽기 35:26, 출애굽기 36:14-18
26:14	출애굽기 36:19
26:15	민수기 4:29, 민수기 4:31, 출애굽기 36:20-23
26:19	민수기 3:36, 출애굽기 36:24-26
26:22	출애굽기 36:27-30
26:26	출애굽기 36:31-33
26:29	출애굽기 12:35-36, 출애굽기 36:34
26:30	출애굽기 19:3, 출애굽기 25:9, 사도행전 7:44, 히브리서 8:5
26:31	출애굽기 36:35-36, 누가복음 23:45, 히브리서 6:19, 히브리서 9:3, 히브리서 10:19-20
26:33	열왕기상 8:6, 출애굽기 40:22, 출애굽기 40:26, 출애굽기 40:21, 레위기 16:2, 열왕기상 8:6, 히브리서 9:2-4, 히브리서 9:12, 히브리서 9:24
26:35	레위기 24:2-3, 열왕기상 7:48-49
26:36	출애굽기 36:37-38
27:1	출애굽기 40:29, 역대기하 4:1, 히브리서 13:10, 출애굽기 38:1-7
27:2	레위기 4:25, 열왕기상 8:64
27:3	열왕기상 7:45
27:7	민수기 4:14-15
27:8	출애굽기 25:40, 역대기상 28:12, 사도행전 7:44, 히브리서 8:5
27:9	출애굽기 40:8, 열왕기상 6:36, 출애굽기 38:9-15
27:14	출애굽기 39:33, 출애굽기 39:40
27:16	출애굽기 35:25, 출애굽기 38:18-19
27:17	출애굽기 38:17
27:18	출애굽기 27:9
27:19	출애굽기 38:20, 민수기 3:36-37
27:20	출애굽기 39:33, 출애굽기 39:37, 레위기 24:1-3
27:21	출애굽기 26:33, 출애굽기 40:3, 히브리서 9:2-3, 출애굽기 30:8, 민수기 18:23
28:1	레위기 8:2, 히브리서 5:1, 히브리서 5:4, 레위기 10:1, 민수기 26:61, 출애굽기 6:23, 출애굽기 38:21, 레위기 10:16, 역대기상 6:3, 역대기상 24:2
28:2	출애굽기 29:5, 레위기 8:7
28:3	출애굽기 31:6, 출애굽기 36:1
28:4	출애굽기 39:8, 출애굽기 39:15, 레위기 8:8, 출애굽기 39:2, 출애굽기 39:22, 출애굽기 39:27-28, 출애굽기 39:30-31, 레위기 8:9, 출애굽기 39:27, 출애굽기 39:29, 레위기 8:7
28:6	출애굽기 39:2-5
28:8	출애굽기 29:5
28:9	출애굽기 35:5, 출애굽기 35:9, 출애굽기 35:27, 출애굽기 1:1-4
28:11	출애굽기 39:6, 출애굽기 39:14
28:12	출애굽기 39:7
28:14	출애굽기 39:15, 출애굽기 39:18
28:15	출애굽기 28:30, 레위기 8:8, 민수기 27:21, 출애굽기 39:8-14
28:22	출애굽기 39:15-18
28:26	출애굽기 39:19-21
28:27	출애굽기 28:8, 레위기 8:7
28:30	레위기 8:8, 민수기 27:21, 신명기 33:8, 사무엘상 28:6, 에스라 2:62-63
28:31	출애굽기 39:22-26, 레위기 8:7
28:35	레위기 16:2, 민수기 18:7
28:36	출애굽기 39:30-31, 레위기 8:9, 역대기상 16:29, 시편 93:5, 베드로 전서 1:16
28:37	출애굽기 29:6
28:38	레위기 22:9, 민수기 18:1
28:39	출애굽기 28:4, 출애굽기 39:27-29
28:40	출애굽기 28:2, 레위기 8:13
28:41	출애굽기 29:4, 출애굽기 29:7, 출애굽기 30:30, 사도행전 10:38, 고린도 후서 1:21, 출애굽기 29:8-9, 레위기 8:33, 민수기 3:2-3
28:42	레위기 6:10
29:1	레위기 8:2, 신명기 17:1
29:2	레위기 6:20
29:3	레위기 8:26
29:4	출애굽기 26:36, 출애굽기 40:28, 레위기 8:2-3, 레위기 8:6, 히브리서 10:22
29:5	출애굽기 28:4, 레위기 8:7, 레위기 16:4, 출애굽기 28:8
29:6	출애굽기 28:36, 출애굽기 39:30, 레위기 8:9
29:7	출애굽기 30:23-25, 레위기 8:12, 시편 133:2, 이사야 61:1, 사도행전 10:38
29:8	출애굽기 28:40, 레위기 8:13
29:9	출애굽기 28:1-3, 출애굽기 28:40, 출애굽기 28:43, 출애굽기 40:15, 출애굽기 28:41
29:10	레위기 8:14-17
29:11	레위기 4:3
29:12	출애굽기 27:2, 레위기 4:7
29:13	레위기 3:17, 레위기 4:8-10
29:15	레위기 1:4, 레위기 8:18-21
29:16	히브리서 9:22
29:17	레위기 1:13
29:18	창세기 8:21
29:19	레위기 8:22-24
29:21	출애굽기 30:23-25, 레위기 8:30
29:22	레위기 3:9-10, 레위기 8:22, 레위기 8:25-28
29:26	레위기 8:29, 시편 99:6
29:27	출애굽기 29:22
29:28	레위기 7:34, 레위기 10:14, 레위기 7:11, 레위기 7:14
29:29	출애굽기 28:4, 민수기 20:26
29:30	레위기 8:35
29:31	레위기 8:31
29:32	고린도 전서 9:13
29:33	레위기 22:10, 민수기 3:10
29:34	레위기 8:32
29:35	레위기 8:4, 레위기 8:33
29:36	출애굽기 30:26, 출애굽기 30:28, 레위기 8:11, 민수기 7:1
29:37	출애굽기 40:10
29:38	역대기하 2:4, 히브리서 7:27, 히브리서 10:11
29:39	민수기 28:4-6
29:42	출애굽기 25:22, 레위기 1:1, 민수기 17:4
29:43	출애굽기 40:34, 민수기 12:5, 열왕기상 8:11
29:44	레위기 22:9
29:45	출애굽기 25:8, 레위기 26:12, 스가랴 2:11, 고린도 후서 6:16
29:46	출애굽기 20:2
30:1	출애굽기 40:5, 출애굽기 37:25-28
30:2	출애굽기 27:1-2, 레위기 4:7
30:6	출애굽기 26:33, 히브리서 9:3, 출애굽기 25:22
30:7	역대기상 23:13, 출애굽기 30:34-35, 민수기 16:39-40, 사무엘상 2:27-28, 누가복음 1:9, 출애굽기 27:20
30:9	레위기 10:1, 역대기하 26:18, 에스겔 8:11-12
30:10	레위기 23:27, 히브리서 9:7, 레위기 16:5-6, 레위기 16:18-19
30:12	출애굽기 38:25, 민수기 1:2, 사무엘하 24:10, 사무엘하 24:15
30:13	레위기 27:25, 역대기하 24:9, 마태복음 17:24
30:14	출애굽기 38:26, 민수기 1:3, 민수기 26:1-2
30:18	출애굽기 38:8, 레위기 8:11, 열왕기상 7:38, 출애굽기 40:7
30:19	출애굽기 40:30-31, 히브리서 10:22
30:21	역대기하 4:6
30:24	민수기 3:47
30:25	출애굽기 37:29
30:26	출애굽기 40:9, 민수기 7:1
30:29	레위기 8:10, 출애굽기 29:37
30:30	레위기 8:12, 민수기 3:2-3, 출애굽기 40:15
30:31	출애굽기 37:29, 열왕기상 1:39, 시편 89:20
30:33	출애굽기 30:37-38
30:34	출애굽기 25:3, 출애굽기 25:6
30:35	출애굽기 37:29, 시편 141:2, 요한 계시록 5:8, 레위기 2:13
30:37	출애굽기 30:31-32
31:2	출애굽기 37:1, 출애굽기 35:30-34, 역대기상 2:20
31:5	출애굽기 28:9-11, 역대기하 2:13-14
31:6	출애굽기 38:23, 출애굽기 36:1
31:7	출애굽기 36:8, 출애굽기 37:1, 출애굽기 37:6
31:8	출애굽기 37:10, 출애굽기 37:17, 출애굽기 37:24, 출애굽기 37:25
31:9	출애굽기 38:1, 출애굽기 40:6, 출애굽기 30:18, 출애굽기 38:8
31:10	출애굽기 28:2, 출애굽기 28:15, 출애굽기 39:1, 출애굽기 39:27, 레위기 8:7
31:11	출애굽기 30:25, 출애굽기 30:35, 출애굽기 37:29
31:13	출애굽기 20:8, 레위기 19:30, 골로새서 2:16-17
31:14	신명기 5:12, 출애굽기 35:2, 민수기 15:32, 민수기 15:35
31:15	출애굽기 16:23, 출애굽기 20:10
31:17	출애굽기 31:13, 창세기 2:2
31:18	마태복음 12:28, 누가복음 11:20, 고린도 후서 3:3, 출애굽기 24:12, 출애굽기 32:15, 신명기 4:13, 신명기 9:15
32:1	출애굽기 24:18, 신명기 9:9, 사도행전 7:40
32:2	출애굽기 12:35-36
32:4	신명기 9:16, 이사야 46:6, 사도행전 7:41, 출애굽기 20:4, 느헤미야 9:18, 시편 106:19-20
32:6	고린도 전서 10:7
32:7	신명기 4:15-18
32:8	출애굽기 18:20, 출애굽기 20:3
32:9	출애굽기 34:9, 신명기 9:6, 사도행전 7:51
32:10	민수기 14:12, 신명기 9:14
32:11	시편 106:23, 신명기 9:18-19
32:12	신명기 9:28
32:13	창세기 22:15-17, 창세기 35:10-11, 히브리서 6:13-14, 창세기 13:14-15, 창세기 26:3-4
32:14	시편 106:45
32:15	출애굽기 40:20, 신명기 5:22, 신명기 9:15
32:16	출애굽기 31:18, 신명기 9:10
32:19	느헤미야 9:18, 시편 106:19-20, 사도행전 7:41, 신명기 9:16-17
32:20	신명기 7:25, 신명기 9:21
32:22	출애굽기 15:24, 출애굽기 16:2, 출애굽기 17:2, 신명기 9:7, 신명기 31:27
32:23	출애굽기 32:1, 사도행전 7:40
32:26	여호수아 24:15, 열왕기하 10:15
32:27	민수기 25:5
32:29	민수기 25:11, 신명기 13:6-9, 신명기 33:8-9
32:30	민수기 16:47, 민수기 21:7, 신명기 9:18
32:31	출애굽기 20:23
32:32	민수기 14:19, 빌립보서 4:3, 요한 계시록 3:5
32:34	출애굽기 23:20, 출애굽기 33:2
33:1	창세기 12:7, 창세기 26:3
33:2	출애굽기 23:20, 출애굽기 32:34, 신명기 7:1, 신명기 7:22, 여호수아 24:11
33:3	출애굽기 3:8, 신명기 8:7-9, 출애굽기 32:9, 신명기 9:6, 사도행전 7:51, 출애굽기 32:10, 민수기 16:21
33:5	출애굽기 34:9, 신명기 9:6, 사도행전 7:51, 민수기 16:45
33:7	출애굽기 18:25-26, 민수기 27:1-5
33:9	출애굽기 13:21, 시편 99:7, 민수기 11:16-17, 민수기 12:5
33:11	출애굽기 33:22-23, 민수기 12:8, 신명기 34:10, 요한복음 1:18, 요한복음 6:46, 사도행전 7:38, 출애굽기 17:9, 출애굽기 24:13, 민수기 11:28, 신명기 1:38, 여호수아 1:1
33:13	시편 25:4, 시편 27:11, 시편 86:11, 시편 119:33, 이사야 30:21, 신명기 9:26
33:14	출애굽기 13:21, 출애굽기 40:34, 여호수아 1:5, 여호수아 1:17, 이사야 63:9, 여호수아 21:44, 여호수아 23:1
33:16	민수기 14:13-14, 신명기 4:34, 사무엘하 7:23, 시편 147:20
33:19	출애굽기 3:13, 출애굽기 6:3, 출애굽기 34:6, 로마서 9:15
33:23	요한복음 1:18
34:1	신명기 10:1, 출애굽기 32:19, 신명기 9:17, 신명기 9:10
34:2	출애굽기 19:20, 출애굽기 24:12
34:3	출애굽기 19:12-13
34:5	사도행전 7:38, 출애굽기 6:3, 출애굽기 33:19
34:6	누가복음 6:36, 출애굽기 22:27, 역대기하 30:9, 느헤미야 9:17, 시편 86:15, 요엘 2:13, 민수기 14:18, 베드로 후서 3:9, 예레미야 31:3, 예레미야 애가 3:22, 미가 7:18, 시편 31:5, 로마서 2:2
34:7	다니엘 9:4, 시편 103:12, 이사야 55:7, 에베소서 4:32, 요한 1서 1:9, 신명기 32:35, 여호수아 24:19, 로마서 2:5, 베드로 후서 2:4, 유다서 1:14-15, 출애굽기 20:5, 신명기 30:19, 사무엘상 15:2
34:9	출애굽기 32:9, 출애굽기 33:3, 출애굽기 33:14, 민수기 14:19
34:10	사무엘하 7:23, 시편 147:19-20, 출애굽기 33:16, 신명기 10:21
34:11	출애굽기 19:5-6, 신명기 12:28, 출애굽기 3:8, 출애굽기 33:2, 신명기 7:1
34:12	신명기 7:2, 출애굽기 23:32-33
34:13	출애굽기 23:24, 신명기 12:3
34:14	출애굽기 20:3, 고린도 전서 10:14, 요한 1서 5:21, 여호수아 24:19
34:15	고린도 전서 10:20, 민수기 25:2, 고린도 후서 6:14
34:16	에스라 9:2, 신명기 7:4, 신명기 31:16, 사사기 2:17, 사사기 8:33, 열왕기상 11:2, 느헤미야 13:26, 시편 106:28
34:17	출애굽기 32:8, 레위기 19:4
34:18	레위기 23:6, 출애굽기 23:15
34:19	출애굽기 13:2, 누가복음 2:23, 출애굽기 22:30
34:20	출애굽기 13:15, 민수기 18:15-16
34:21	신명기 5:12
34:22	출애굽기 23:16, 레위기 23:34
34:23	신명기 16:16
34:24	출애굽기 34:11
34:25	출애굽기 23:18, 출애굽기 12:10, 민수기 9:12
34:26	민수기 18:8, 민수기 18:12, 신명기 26:2, 잠언 3:9, 출애굽기 23:19, 신명기 14:21
34:27	출애굽기 24:4, 신명기 31:9, 신명기 31:11, 출애굽기 24:8, 신명기 4:13
34:28	신명기 9:18, 출애굽기 31:18, 신명기 10:2
34:29	출애굽기 32:15
34:30	고린도 후서 3:7
34:32	출애굽기 24:3, 신명기 1:3
34:33	고린도 후서 3:13
34:34	고린도 후서 3:16, 신명기 27:10
34:35	고린도 후서 3:7, 고린도 후서 3:13
35:1	출애굽기 34:32
35:2	출애굽기 20:9-10, 레위기 23:3, 출애굽기 31:14-15, 민수기 15:32, 민수기 15:35
35:5	출애굽기 25:2-7, 출애굽기 35:29, 고린도 후서 8:12, 고린도 후서 9:7
35:6	출애굽기 26:7, 출애굽기 36:8
35:8	출애굽기 25:3, 출애굽기 25:6
35:9	출애굽기 28:15, 출애굽기 28:9, 출애굽기 39:14
35:10	출애굽기 31:6, 출애굽기 36:1
35:12	출애굽기 25:10, 출애굽기 25:13, 출애굽기 25:17, 출애굽기 26:31
35:13	출애굽기 25:23, 출애굽기 25:30, 레위기 24:5-6
35:14	출애굽기 25:31, 출애굽기 27:20
35:15	출애굽기 30:1, 출애굽기 37:25, 출애굽기 40:5, 출애굽기 30:34-35
35:16	출애굽기 27:1, 출애굽기 30:18, 출애굽기 38:8
35:17	출애굽기 27:9
35:18	출애굽기 27:19
35:19	출애굽기 31:6, 출애굽기 31:10, 출애굽기 39:33, 출애굽기 39:41, 출애굽기 39:1
35:21	출애굽기 25:2, 출애굽기 36:2, 고린도 후서 8:12, 고린도 후서 9:7
35:22	출애굽기 38:24
35:25	출애굽기 28:3, 출애굽기 31:6, 출애굽기 36:8
35:27	출애굽기 28:15, 출애굽기 28:28, 출애굽기 39:15, 출애굽기 39:21
35:28	출애굽기 30:23-25, 출애굽기 30:34-35
35:29	출애굽기 36:5, 고린도 후서 9:7
35:30	출애굽기 31:2-6
35:34	출애굽기 36:1
35:35	출애굽기 31:3
36:1	출애굽기 25:9, 출애굽기 31:6
36:2	출애굽기 28:3, 출애굽기 35:10, 출애굽기 35:21, 출애굽기 35:26
36:3	출애굽기 35:5-9, 잠언 3:9, 고린도 후서 9:7
36:8	출애굽기 31:6, 출애굽기 25:9, 출애굽기 39:32, 히브리서 9:9, 출애굽기 26:1-6
36:14	출애굽기 26:7-11
36:19	출애굽기 26:14
36:20	출애굽기 25:10, 출애굽기 25:23, 출애굽기 27:1, 출애굽기 30:5, 출애굽기 36:36, 출애굽기 26:15-18
36:24	출애굽기 26:19-21
36:27	출애굽기 26:22-25
36:31	출애굽기 26:26-28
36:34	출애굽기 26:29
36:35	출애굽기 40:21, 히브리서 10:19-20, 창세기 3:24, 출애굽기 26:31-32
36:37	출애굽기 26:36-37
37:1	출애굽기 31:2-5, 출애굽기 38:22, 출애굽기 40:3, 민수기 10:33, 출애굽기 25:10-15
37:2	히브리서 9:4
37:4	역대기하 5:9
37:5	여호수아 3:8
37:6	레위기 16:2, 레위기 16:14, 역대기상 28:11, 출애굽기 25:17-20
37:7	창세기 3:24, 출애굽기 40:20
37:9	히브리서 9:5, 사무엘상 4:4, 시편 80:1
37:10	출애굽기 40:4, 출애굽기 25:23-28
37:16	출애굽기 25:29
37:17	출애굽기 40:24, 레위기 24:4, 역대기하 13:11, 출애굽기 25:31-39
37:23	민수기 8:2
37:25	출애굽기 30:7, 출애굽기 40:5, 시편 141:2, 요한 계시록 8:3, 출애굽기 30:1-5
37:29	출애굽기 30:25, 출애굽기 30:33, 출애굽기 40:9, 출애굽기 30:34-35, 시편 141:2
38:1	출애굽기 27:1-8, 출애굽기 40:10
38:2	역대기하 1:5
38:8	출애굽기 30:18, 레위기 8:11, 열왕기상 7:23
38:9	출애굽기 40:8, 출애굽기 27:9-15
38:17	출애굽기 27:17
38:18	출애굽기 27:16
38:20	출애굽기 27:19
38:21	출애굽기 25:16, 출애굽기 31:18, 민수기 17:7, 출애굽기 6:23, 민수기 4:28, 역대기상 6:3, 민수기 3:6, 민수기 4:46-47
38:22	출애굽기 31:2-5, 출애굽기 35:30, 출애굽기 36:1, 출애굽기 37:1, 역대기하 1:5
38:23	출애굽기 31:6, 출애굽기 35:34, 출애굽기 36:2
38:24	출애굽기 35:22
38:26	출애굽기 30:15, 출애굽기 12:37, 민수기 1:45-46
38:27	출애굽기 26:19-21, 출애굽기 26:25, 출애굽기 26:32
38:31	출애굽기 27:19
39:1	출애굽기 35:23, 출애굽기 28:4-5, 출애굽기 29:5, 출애굽기 35:10, 출애굽기 35:19
39:2	출애굽기 28:6-8, 레위기 8:7
39:5	출애굽기 29:5
39:6	출애굽기 28:9-10
39:7	출애굽기 28:12
39:8	레위기 8:8, 출애굽기 28:15-21
39:15	출애굽기 28:22-25
39:19	출애굽기 28:26-28
39:22	출애굽기 28:31-35
39:27	출애굽기 28:39-40
39:28	출애굽기 28:4, 출애굽기 29:8-9, 출애굽기 28:42
39:30	출애굽기 28:36-37, 레위기 8:9
39:32	출애굽기 25:40, 히브리서 8:5
39:33	출애굽기 36:8, 출애굽기 36:14, 출애굽기 36:18, 출애굽기 36:20, 출애굽기 36:31, 출애굽기 36:24
39:34	출애굽기 36:19, 출애굽기 36:35
39:35	출애굽기 37:1, 출애굽기 37:4, 출애굽기 37:6
39:36	출애굽기 37:10, 출애굽기 37:16
39:37	출애굽기 37:17, 출애굽기 37:23, 출애굽기 25:38, 출애굽기 35:27-28
39:38	출애굽기 37:25, 출애굽기 37:29, 출애굽기 30:34-35, 출애굽기 36:37
39:39	출애굽기 38:1, 출애굽기 38:4, 출애굽기 38:6, 출애굽기 38:30, 출애굽기 30:18, 출애굽기 38:8
39:40	출애굽기 38:9-11, 출애굽기 38:18, 출애굽기 38:20
39:41	출애굽기 28:3
39:42	출애굽기 35:10, 출애굽기 36:1
40:2	민수기 7:1
40:3	출애굽기 25:21, 민수기 4:5, 히브리서 9:3
40:4	출애굽기 26:35, 출애굽기 25:31, 히브리서 9:2, 출애굽기 25:37
40:5	출애굽기 30:1, 출애굽기 26:36
40:6	출애굽기 38:1
40:7	출애굽기 30:18
40:8	출애굽기 27:9, 출애굽기 27:16, 출애굽기 38:18
40:9	출애굽기 30:23-25, 레위기 8:10, 민수기 7:1
40:10	출애굽기 29:36-37, 레위기 8:11
40:12	레위기 8:6
40:13	출애굽기 29:5, 레위기 8:7, 레위기 8:12, 시편 133:2
40:14	레위기 8:13
40:15	레위기 8:30, 히브리서 7:11
40:16	출애굽기 39:43, 신명기 4:2
40:17	민수기 7:1, 민수기 9:15
40:18	출애굽기 36:24, 출애굽기 26:15, 출애굽기 36:31
40:19	출애굽기 26:7, 출애굽기 26:14
40:20	출애굽기 31:18, 출애굽기 25:22, 출애굽기 37:1, 출애굽기 37:4, 열왕기상 8:8, 레위기 16:2, 출애굽기 37:6, 역대기상 28:11
40:21	출애굽기 36:35, 히브리서 10:19-20, 히브리서 9:3
40:22	출애굽기 37:10, 히브리서 9:2
40:23	출애굽기 25:30, 마태복음 12:4
40:24	출애굽기 37:17
40:25	출애굽기 25:37, 출애굽기 37:23
40:26	출애굽기 30:1, 출애굽기 37:25
40:27	출애굽기 30:34-35, 출애굽기 30:7
40:28	출애굽기 26:36, 출애굽기 36:37
40:29	출애굽기 38:1, 출애굽기 29:38
40:30	출애굽기 30:18
40:32	출애굽기 30:18-19
40:33	출애굽기 27:9, 출애굽기 38:9, 출애굽기 38:18
40:34	민수기 9:15, 요한 계시록 15:8
40:35	역대기하 5:14
40:36	민수기 10:11, 느헤미야 9:19
40:37	민수기 9:17, 민수기 9:22
40:38	출애굽기 13:21, 민수기 9:16, 시편 78:14
